# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles:P'
# Event count (approx.): 2534099589
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
# ........  ..............  ..............................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.10%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_sync_create
     0.10%  progetto        [kernel.kallsyms]               [k] syscall_exit_to_user_mode_prepare
     0.10%  progetto        liballegro_primitives.so.5.2.9  [.] al_calculate_arc
     0.10%  progetto        [kernel.kallsyms]               [k] do_nanosleep
     0.10%  progetto        libc.so.6                       [.] __strcmp_avx2
     0.10%  progetto        radeonsi_dri.so                 [.] 0x000000000009c145
     0.09%  progetto        [kernel.kallsyms]               [k] strncpy_from_user
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] drm_exec_unlock_all
     0.09%  progetto        [kernel.kallsyms]               [k] common_perm_cond
     0.09%  progetto        [kernel.kallsyms]               [k] dequeue_task_fair
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_drm_ioctl
     0.09%  progetto        [kernel.kallsyms]               [k] bitmap_string.constprop.0
     0.09%  progetto        [kernel.kallsyms]               [k] __x86_indirect_thunk_rax
     0.09%  progetto        [kernel.kallsyms]               [k] try_to_wake_up
     0.09%  progetto        [kernel.kallsyms]               [k] reweight_entity
     0.09%  progetto        libc.so.6                       [.] __isoc99_sscanf
     0.09%  progetto        liballegro.so.5.2.9             [.] al_get_display_flags
     0.09%  progetto        [kernel.kallsyms]               [k] obj_cgroup_uncharge
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] syscall_exit_to_user_mode
     0.09%  progetto        radeonsi_dri.so                 [.] 0x0000000000304530
     0.09%  progetto        [kernel.kallsyms]               [k] open_last_lookups
     0.09%  progetto        [kernel.kallsyms]               [k] __fdget
     0.09%  progetto        [kernel.kallsyms]               [k] task_dump_owner
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] kmem_cache_alloc
     0.09%  progetto        [kernel.kallsyms]               [k] __memcg_slab_free_hook
     0.09%  progetto        libglapi.so.0.0.0               [.] 0x000000000000fbc0
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] read_tsc
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] __kmalloc
     0.09%  progetto        [kernel.kallsyms]               [k] kfree
     0.09%  progetto        [kernel.kallsyms]               [k] task_state
     0.09%  progetto        radeonsi_dri.so                 [.] 0x0000000000668be0
     0.09%  progetto:cs0    [kernel.kallsyms]               [k] drm_sched_rq_update_fifo
     0.09%  progetto        [kernel.kallsyms]               [k] security_file_open
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000008acbf0
     0.08%  progetto        [kernel.kallsyms]               [k] __perf_event_task_sched_in
     0.08%  progetto        [kernel.kallsyms]               [k] mntput_no_expire
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000003713b0
     0.08%  progetto        libc.so.6                       [.] _IO_file_doallocate
     0.08%  progetto        [kernel.kallsyms]               [k] lookup_fast
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000000bc3cf
     0.08%  progetto        libGLdispatch.so.0.0.0          [.] __glDispatchCheckMultithreaded
     0.08%  progetto        libc.so.6                       [.] __memchr_avx2
     0.08%  progetto        [kernel.kallsyms]               [k] proc_single_open
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e77f
     0.08%  progetto        liballegro.so.5.2.9             [.] _al_xglx_config_select_visual
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x000000000002e549
     0.08%  progetto        libc.so.6                       [.] __GI_____strtoull_l_internal
     0.08%  progetto        libxcb.so.1.1.0                 [.] xcb_send_request
     0.08%  progetto        progetto                        [.] get_policy_name(int)
     0.08%  progetto        libc.so.6                       [.] fopen@@GLIBC_2.2.5
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000000bee1d
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000008f79e4
     0.08%  progetto        [kernel.kallsyms]               [k] update_load_avg
     0.08%  progetto        [kernel.kallsyms]               [k] unix_stream_recvmsg
     0.08%  progetto        libGLX.so.0.0.0                 [.] glXSwapBuffers
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] dma_resv_add_fence
     0.08%  progetto        libGLdispatch.so.0.0.0          [.] 0x00000000000441c0
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000003cfd30
     0.08%  progetto:cs0    libdrm.so.2.4.0                 [.] ioctl@plt
     0.08%  progetto        [kernel.kallsyms]               [k] native_write_msr
     0.08%  progetto        libGLX_mesa.so.0.0.0            [.] 0x0000000000053410
     0.08%  progetto        [kernel.kallsyms]               [k] vfs_fstat
     0.08%  progetto        libX11.so.6.4.0                 [.] 0x00000000000698a6
     0.08%  progetto        libc.so.6                       [.] __GI___pthread_self
     0.08%  progetto        [kernel.kallsyms]               [k] finish_task_switch.isra.0
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000008ba827
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] __kmalloc_node
     0.08%  progetto        libfreetype.so.6.18.1           [.] 0x0000000000051201
     0.08%  progetto        radeonsi_dri.so                 [.] 0x00000000008bfab8
     0.08%  progetto:cs0    [kernel.kallsyms]               [k] drm_ioctl
     0.08%  progetto        liballegro_ttf.so.5.2.9         [.] 0x0000000000004070
