# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3K of event 'cycles:P'
# Event count (approx.): 2617849324
#
# Overhead  Command         Shared Object                   Symbol                                                                                                                                                                                                                                                                 
# ........  ..............  ..............................  .......................................................................................................................................................................................................................................................................
#
     0.07%  progetto        radeonsi_dri.so                 [.] 0x000000000030fce3
     0.07%  progetto        libfreetype.so.6.18.1           [.] 0x00000000000511c0
     0.07%  progetto        [kernel.kallsyms]               [k] step_into
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] do_swap
     0.07%  progetto        libm.so.6                       [.] __sincosf_fma
     0.07%  progetto        [kernel.kallsyms]               [k] pick_next_task
     0.07%  progetto        liballegro_primitives.so.5.2.9  [.] al_draw_filled_rectangle
     0.07%  progetto        liballegro_ttf.so.5.2.9         [.] 0x0000000000003cd0
     0.07%  progetto        [kernel.kallsyms]               [k] clear_page_erms
     0.07%  progetto        libLLVM-15.so.1                 [.] llvm::MachineInstr::addRegisterKilled(llvm::Register, llvm::TargetRegisterInfo const*, bool)
     0.07%  progetto        [kernel.kallsyms]               [k] alloc_fd
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] gmc_v9_0_get_vm_pde
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x0000000000010640
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_bo_gpu_offset
     0.07%  progetto        libxcb-present.so.0.0.0         [.] xcb_present_pixmap
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x000000000001a714
     0.07%  progetto:cs0    [kernel.kallsyms]               [k] psi_task_switch
     0.07%  progetto        liballegro.so.5.2.9             [.] al_utf8_width
     0.07%  progetto        [kernel.kallsyms]               [k] syscall_return_via_sysret
     0.07%  progetto        [kernel.kallsyms]               [k] __mod_memcg_lruvec_state
     0.07%  progetto        [kernel.kallsyms]               [k] update_sd_lb_stats.constprop.0
     0.07%  progetto        [kernel.kallsyms]               [k] error_entry
     0.07%  progetto        [kernel.kallsyms]               [k] __pte_offset_map_lock
     0.07%  progetto        radeonsi_dri.so                 [.] 0x00000000000b6990
     0.07%  progetto        libglapi.so.0.0.0               [.] 0x000000000000f880
     0.07%  progetto        radeonsi_dri.so                 [.] 0x00000000002fdea3
     0.07%  progetto        liballegro_ttf.so.5.2.9         [.] FT_Get_Char_Index@plt
     0.06%  progetto:cs0    [kernel.kallsyms]               [k] amdgpu_cs_vm_handling
     0.06%  progetto:cs0    [kernel.kallsyms]               [k] fpregs_assert_state_consistent
     0.06%  progetto        progetto                        [.] difftime@plt
     0.06%  progetto        [kernel.kallsyms]               [k] __alloc_pages
